Institution,CourseName,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR,AvgCutoffRank,CourseName_enc,Predicted_AvgCutoffRank
K L E Institute of Technology  Hubli,CS Computers,20199.0,,24274.0,17189.0,21439.0,21285.0,16702.0,,,17667.0,,,15410.0,,20238.0,13960.0,17005.0,18785.0,46057.0,49297.0,46362.0,23839.0,,33460.0,24892.235294117647,42,26564.60719895004
Sapthagiri NPS College of Engineering  Bangalore,CS Computers,20372.0,122447.0,42913.0,21080.0,30122.0,23479.0,24047.0,126470.0,142810.0,16908.0,84012.0,25471.0,17228.0,25166.0,23038.0,16111.0,21732.0,20620.0,51790.0,256126.0,62315.0,27435.0,,96196.0,56429.913043478264,42,45411.903084219455
C M R Institute of Technology  Bangalore,AI ArtificialIntelligence,20378.0,29425.0,27508.0,16353.0,,23509.0,19510.0,,31837.0,14772.0,,18708.0,14321.0,24289.0,,13077.0,20641.0,18111.0,48716.0,78563.0,74366.0,47415.0,,103560.0,33950.47368421053,2,36575.7312717503
New Horizon College of Engineering  Bangalore,EC Electronics,20473.0,,32580.0,20534.0,38275.0,25141.0,24341.0,74546.0,65214.0,14501.0,40318.0,23065.0,15542.0,25017.0,24093.0,14370.0,23852.0,21948.0,52515.0,90270.0,68505.0,36765.0,49671.0,50157.0,37030.13043478261,67,37788.35264031003
University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. ),EE Electrical,20587.0,51745.0,34616.0,17669.0,29180.0,19081.0,19148.0,50345.0,89610.0,14319.0,29031.0,,15013.0,,18817.0,12903.0,16124.0,18177.0,26928.0,50666.0,31240.0,19414.0,,66517.0,31006.190476190477,68,34518.243608830235
Reva University  Bangalore,CU B Tech in IS,20739.0,,31876.0,20726.0,,21678.0,28024.0,,50626.0,16550.0,,,17249.0,,,16238.0,19342.0,18180.0,68188.0,178345.0,81941.0,79509.0,137470.0,103883.0,53562.58823529412,44,48391.0594847388
RNS Institute of Technology  Bangalore,EC Electronics,20856.0,,55751.0,19428.0,26788.0,22255.0,27693.0,,,13770.0,,21981.0,14031.0,,20874.0,12634.0,26765.0,19546.0,63552.0,68267.0,86152.0,33462.0,,67639.0,34524.666666666664,67,37630.26236280596
M V J College of Engineering  Bangalore,IE Info.Science,20923.0,,,21739.0,33635.0,23467.0,23293.0,,46527.0,18537.0,,22471.0,19807.0,,26144.0,18485.0,22773.0,22060.0,56042.0,89650.0,69606.0,32157.0,,87482.0,36377.666666666664,78,37636.01845879401
Siddaganga Institute of Technology  Tumkur,EE Electrical,21233.0,,49332.0,20113.0,,29807.0,22274.0,119073.0,,18762.0,,24919.0,17491.0,28233.0,,17019.0,27704.0,24674.0,37615.0,117212.0,54431.0,26301.0,,,38599.58823529412,68,38167.70735217196
Dayananda Sagar Academy of Technology  Kanakapur Main Road Bangalore,AI ArtificialIntelligence,21285.0,,,19754.0,,27510.0,21985.0,,,15323.0,32870.0,21968.0,15875.0,27775.0,,14637.0,24508.0,17541.0,48742.0,,87788.0,47117.0,,90016.0,33418.375,2,34125.44303557251
Nitte Meenakshi Institutute of Technology  Bangalore,CB Comp. Sc. andBus Sys.,21301.0,,,16061.0,,27014.0,,,42449.0,14259.0,,,13110.0,22542.0,,12421.0,26176.0,13764.0,62214.0,124740.0,91942.0,46242.0,,97270.0,42100.333333333336,28,42928.05845091079
Reva University  Bangalore,AM B Tech in AM,21519.0,,,22553.0,46781.0,28164.0,21446.0,,,18045.0,,,18400.0,,21959.0,17258.0,26170.0,21583.0,70350.0,86944.0,106799.0,71981.0,139013.0,82078.0,48296.64705882353,3,42675.63584222152
Visvesvaraya Technological University - Regional Center  Mysore,CS Computers,21536.0,61472.0,47212.0,24905.0,44981.0,27862.0,26207.0,,49047.0,23201.0,,29822.0,18149.0,,30256.0,17979.0,23920.0,21059.0,38656.0,83921.0,52623.0,40622.0,96875.0,75709.0,40762.57142857143,42,39929.32190796683
Vidya Vikas Institute of Engineering and Technology  Mysuru,CS Computers,21963.0,,,25253.0,,29491.0,25027.0,,55908.0,22658.0,,29246.0,20662.0,,31244.0,20088.0,30677.0,24525.0,44882.0,46792.0,51340.0,56301.0,108836.0,,37934.882352941175,42,36921.809848518365
Basaveshwara Engineering College  Bagalkot,CS Computers,21979.0,28198.0,29488.0,18918.0,,25998.0,22827.0,,26564.0,18828.0,,,17755.0,,28975.0,17382.0,17752.0,18432.0,34472.0,58303.0,45956.0,46564.0,56426.0,86206.0,32685.42105263158,42,35136.99300641309
"Sir M.Visveswaraya Institute of Technology  Hunasemaranahalli,Bangalore,","IC CS-IoT, CyberSecurity",22041.0,70313.0,36438.0,19690.0,,37410.0,26461.0,,,18390.0,,,17293.0,33566.0,,16915.0,,22507.0,72498.0,,87424.0,31776.0,,,36623.0,77,38371.32916457812
KLE Technological University(Formerly KLE Dr.MS Sheshagiri Col.)  Belgaum,EC Electronics,22137.0,,52343.0,23395.0,,24207.0,23222.0,,29538.0,22187.0,,,20669.0,,24187.0,20231.0,21317.0,23443.0,66820.0,71763.0,83240.0,36098.0,,115765.0,40033.05882352941,67,39668.38041232768
K L E Institute of Technology  Hubli,EC Electronics,22162.0,,39813.0,24771.0,30895.0,30930.0,23514.0,45220.0,39249.0,26374.0,,32940.0,23214.0,,30957.0,22119.0,29047.0,29546.0,62505.0,97606.0,85905.0,32534.0,,122509.0,42590.5,67,40688.315613566025
Vidya Vardhaka College of Engineering  Mysuru,EC Electronics,22269.0,,27835.0,22151.0,30309.0,24821.0,23315.0,71956.0,46333.0,17774.0,,,19697.0,,23150.0,17387.0,25372.0,21200.0,43628.0,83604.0,56226.0,22095.0,,74913.0,35475.52631578947,67,37503.88790458773
Sri Jayachamarajendra College of Engineering(Const. of JSS Univ.)  Mysore,"EL Electronics,Instr. Tech.",22276.0,,,26499.0,39984.0,55677.0,35903.0,,176299.0,20454.0,,52013.0,24879.0,120270.0,97607.0,18603.0,36634.0,36866.0,77962.0,106330.0,87546.0,32725.0,,120735.0,62592.73684210526,70,52930.30586558307
Sri Dharmasthala Manjunatheswara College of Engineering  Dharwad,AI ArtificialIntelligence,22343.0,,37061.0,15788.0,,26150.0,17134.0,,,18218.0,,26290.0,14091.0,24562.0,,14046.0,18780.0,15577.0,42642.0,,112736.0,50202.0,,,30374.666666666668,2,33824.4976568613
Dayananda Sagar College of Engineering  Bangalore,EE Electrical,22396.0,,38052.0,21839.0,,27193.0,24133.0,,46683.0,16971.0,,,21189.0,40626.0,30314.0,15496.0,26515.0,20413.0,40750.0,103174.0,46548.0,27422.0,54583.0,76281.0,36872.52631578947,68,38869.772374143984
"Sir M.Visveswaraya Institute of Technology  Hunasemaranahalli,Bangalore,",BT Bio Technology,22621.0,,115131.0,17929.0,,26821.0,50933.0,,,18983.0,,,17288.0,,,14276.0,37400.0,26447.0,39024.0,,73653.0,34525.0,,,38079.307692307695,20,41254.61215692971
Sahyadri College of Engg. and Management  Mangalore,"CA CS (AI, MachineLearning)",22627.0,,,26815.0,29440.0,30892.0,23105.0,,,23301.0,,,21945.0,,25948.0,21890.0,24255.0,25365.0,120416.0,196608.0,122429.0,47031.0,,56925.0,51187.0,27,46611.19310791581
"Sir M.Visveswaraya Institute of Technology  Hunasemaranahalli,Bangalore,",DS Comp. Sc. Engg-Data Sc.,22720.0,,,20707.0,25355.0,27154.0,,,,,,16903.0,16222.0,,,16108.0,25226.0,16627.0,60319.0,,,65746.0,,,28462.454545454544,64,31993.867581962437
